MTI Calibrated sensor data

ACCX ACCY ACCZ
GYRX GYRY GYRZ
MAGNX MAGNY MAGNZ
EulerX EulerY EulerZ

1159361707.967985000 EulerX:0.0915302 EulerY:-0.0324186 EulerZ:118.876
1159361708.77828000 ACCX:-0.00619791 ACCY:-0.0153528 ACCZ:9.80429
1159361708.77865000 GYRX:0.00641129 GYRY:-0.00528829 GYRZ:0.00102139
1159361708.77877000 MAGNX:-0.211145 MAGNY:-0.428196 MAGNZ:-0.65971
1159361708.77888000 EulerX:0.105158 EulerY:-0.0174058 EulerZ:118.926
1159361708.187998000 ACCX:-0.00637663 ACCY:-0.022441 ACCZ:9.77537
1159361708.188035000 GYRX:0.0126653 GYRY:-0.00257508 GYRZ:-0.00512679
1159361708.188047000 MAGNX:-0.241328 MAGNY:-0.381082 MAGNZ:-0.508762
1159361708.188058000 EulerX:0.1245 EulerY:-0.004241 EulerZ:119.006
1159361708.297864000 ACCX:-0.0244922 ACCY:-0.00411242 ACCZ:9.78485
1159361708.297901000 GYRX:0.0117323 GYRY:0.00127954 GYRZ:-0.00332273
1159361708.297913000 MAGNX:-0.211262 MAGNY:-0.428237 MAGNZ:-0.655593
1159361708.297924000 EulerX:0.107475 EulerY:0.0163719 EulerZ:119.027
1159361708.411808000 ACCX:-0.00245626 ACCY:-0.00447698 ACCZ:9.8226
1159361708.411852000 GYRX:0.00345602 GYRY:-0.00476968 GYRZ:0.00153955
1159361708.411865000 MAGNX:-0.241986 MAGNY:-0.381686 MAGNZ:-0.510915
1159361708.411876000 EulerX:0.121148 EulerY:0.013238 EulerZ:119.08
1159361708.517851000 ACCX:-0.0135241 ACCY:-0.0152606 ACCZ:9.79472
1159361708.517887000 GYRX:0.00108652 GYRY:-0.00386792 GYRZ:-0.00639224
1159361708.517900000 MAGNX:-0.212659 MAGNY:-0.429637 MAGNZ:-0.654924
1159361708.517911000 EulerX:0.116521 EulerY:-0.00231748 EulerZ:119.098
1159361708.627835000 ACCX:0.000810462 ACCY:-0.0189794 ACCZ:9.77655
1159361708.627872000 GYRX:0.0171787 GYRY:-0.00853549 GYRZ:0.00308368
1159361708.627885000 MAGNX:-0.242497 MAGNY:-0.38251 MAGNZ:-0.514469
1159361708.627896000 EulerX:0.108477 EulerY:0.00488714 EulerZ:119.157
1159361708.737793000 ACCX:-0.0321885 ACCY:0.0182902 ACCZ:9.73245
1159361708.737830000 GYRX:0.00151347 GYRY:-0.00374205 GYRZ:-0.000719895
1159361708.737843000 MAGNX:-0.213066 MAGNY:-0.429207 MAGNZ:-0.652564
1159361708.737854000 EulerX:0.129032 EulerY:-0.0201794 EulerZ:119.15
1159361708.847882000 ACCX:-0.0100646 ACCY:-0.0263769 ACCZ:9.77941
1159361708.847919000 GYRX:0.0085312 GYRY:0.00331267 GYRZ:-0.00660178
1159361708.847931000 MAGNX:-0.242007 MAGNY:-0.382173 MAGNZ:-0.516441
1159361708.847943000 EulerX:0.105321 EulerY:-0.0163881 EulerZ:119.185
1159361708.958014000 ACCX:0.0010402 ACCY:-0.0193305 ACCZ:9.81273
1159361708.958057000 GYRX:0.0020168 GYRY:-0.00628611 GYRZ:-0.000215272
1159361708.958069000 MAGNX:-0.213157 MAGNY:-0.429833 MAGNZ:-0.647861
1159361708.958080000 EulerX:0.094266 EulerY:-0.0183237 EulerZ:119.141
1159361709.67726000 ACCX:-0.0246148 ACCY:-0.00794513 ACCZ:9.7783
1159361709.67762000 GYRX:0.00715028 GYRY:-0.00268013 GYRZ:0.00209069
1159361709.67774000 MAGNX:-0.240279 MAGNY:-0.382474 MAGNZ:-0.519608
1159361709.67785000 EulerX:0.10217 EulerY:0.00150884 EulerZ:119.187
1159361709.180634000 ACCX:-0.0173779 ACCY:0.00498145 ACCZ:9.77515
1159361709.180672000 GYRX:0.00572925 GYRY:0.00048329 GYRZ:-0.00814119
1159361709.180684000 MAGNX:-0.214504 MAGNY:-0.430659 MAGNZ:-0.645924
1159361709.180703000 EulerX:0.0992118 EulerY:-0.0076456 EulerZ:119.192
1159361709.287781000 ACCX:0.000867985 ACCY:-0.0025042 ACCZ:9.78734
1159361709.287818000 GYRX:0.0040152 GYRY:-0.00651471 GYRZ:0.0015734
1159361709.287831000 MAGNX:-0.240694 MAGNY:-0.382619 MAGNZ:-0.522755
1159361709.287850000 EulerX:0.0953819 EulerY:-0.00412691 EulerZ:119.24
1159361709.397876000 ACCX:0.00475116 ACCY:-0.0154298 ACCZ:9.8123
1159361709.397912000 GYRX:0.00739016 GYRY:-0.00685798 GYRZ:-0.0015449
1159361709.397925000 MAGNX:-0.214591 MAGNY:-0.429422 MAGNZ:-0.642811
1159361709.397935000 EulerX:0.0833868 EulerY:-0.0128305 EulerZ:119.218
1159361709.507807000 ACCX:-0.0207724 ACCY:-0.0116067 ACCZ:9.7978
1159361709.507843000 GYRX:0.00457131 GYRY:-0.00948609 GYRZ:-0.0066686
1159361709.507855000 MAGNX:-0.240178 MAGNY:-0.383771 MAGNZ:-0.526115
1159361709.507866000 EulerX:0.0717714 EulerY:-0.00760803 EulerZ:119.24
